The Forest's Aid,predicted good,1
Crystal Power,predicted good,0
Blessing of the Ancients,predicted bad,0
Crystalsong Portal,predicted good,1
Acornbearer,predicted good,0
Lifeweaver,predicted good,1
Lucentbark,predicted bad,0
Keeper Stalladris,predicted good,1
Dreamway Guardians,predicted bad,1
Crystal Stag,predicted good,1
Toxfin,predicted bad,0
Potion Vendor,predicted bad,0
Sunreaver Spy,predicted bad,0
Spellbook Binder,predicted bad,0
Arcane Servant,predicted bad,0
EVIL Cable Rat,predicted good,0
Dalaran Librarian,predicted bad,0
Hench-Clan Hogsteed,predicted good,1
Mana Reservoir,predicted bad,0
Spellward Jeweler,predicted good,1
Arcane Watcher,predicted bad,1
Faceless Rager,predicted bad,1
Flight Master,predicted bad,0
Magic Carpet,predicted bad,1
Hench-Clan Thug,predicted bad,0
Hecklebot,predicted bad,0
Traveling Healer,predicted bad,0
Hench-Clan Hag,predicted bad,1
Violet Spellsword,predicted bad,0
Proud Defender,predicted bad,1
Archmage Vargoth,predicted bad,0
Portal Keeper,predicted bad,0
Soldier of Fortune,predicted good,1
Dalaran Crusader,predicted good,1
Sunreaver Warmage,predicted good,0
Barista Lynchen,predicted bad,0
Azerite Elemental,predicted bad,0
Recurring Villain,predicted good,0
Safeguard,predicted good,0
Violet Warden,predicted bad,0
Unseen Saboteur,predicted bad,0
Portal Overfiend,predicted bad,0
Eccentric Scribe,predicted good,1
Mad Summoner,predicted bad,0
Underbelly Ooze,predicted bad,0
Chef Nomi,predicted good,0
Exotic Mountseller,predicted good,0
Tunnel Blaster,predicted good,0
Heroic Innkeeper,predicted bad,0
Jepetto Joybuzz,predicted bad,0
Batterhead,predicted good,1
Archivist Elysiana,predicted bad,1
Whirlwind Tempest,predicted bad,0
Burly Shovelfist,predicted good,1
Big Bad Archmage,predicted bad,0
Marked Shot,predicted good,1
Arcane Fletcher,predicted bad,0
Rapid Fire,predicted good,1
Oblivitron,predicted good,0
Nine Lives,predicted good,0
Unleash the Beast,predicted bad,1
Vereesa Windrunner,predicted good,1
Shimmerfly,predicted good,1
Hunting Party,predicted bad,0
Ursatron,predicted good,1
Messenger Raven,predicted good,1
Conjurer's Calling,predicted bad,1
Magic Dart Frog,predicted good,0
Khadgar,predicted bad,1
Kirin Tor Tricaster,predicted bad,0
Ray of Frost,predicted good,0
Power of Creation,predicted good,1
Mana Cyclone,predicted good,1
Magic Trick,predicted good,0
Kalecgos,predicted bad,1
Desperate Measures,predicted bad,0
Bronze Herald,predicted good,1
Dragon Speaker,predicted bad,0
Lightforged Blessing,predicted bad,0
Never Surrender!,predicted bad,0
Mysterious Blade,predicted bad,1
Commander Rhyssa,predicted bad,1
Nozari,predicted bad,0
Call to Adventure,predicted good,0
Duel!,predicted bad,0
Lazul's Scheme,predicted bad,0
Shadowy Figure,predicted bad,1
Convincing Infiltrator,predicted good,1
Hench-Clan Shadequill,predicted bad,1
Unsleeping Soul,predicted bad,0
EVIL Conscripter,predicted good,1
Catrina Muerte,predicted bad,1
Forbidden Words,predicted good,1
Mass Resurrection,predicted bad,0
Madame Lazul,predicted good,1
Dr. Boom's Scheme,predicted bad,0
Dimensional Ripper,predicted bad,0
Clockwork Goblin,predicted bad,0
Sweeping Strikes,predicted bad,1
Wrenchcalibur,predicted bad,1
Blastmaster Boom,predicted bad,0
The Boom Reaver,predicted good,0
Vicious Scraphound,predicted bad,0
Improve Morale,predicted bad,1
Omega Devastator,predicted good,1
Mutate,predicted bad,1
Sludge Slurper,predicted good,1
Underbelly Angler,predicted good,1
Witch's Brew,predicted bad,0
Soul of the Murloc,predicted good,0
Scargil,predicted bad,0
Hagatha's Scheme,predicted good,1
Muckmorpher,predicted bad,0
Swampqueen Hagatha,predicted good,1
Walking Fountain,predicted bad,1
Togwaggle's Scheme,predicted bad,0
Daring Escape,predicted bad,0
Underbelly Fence,predicted bad,1
EVIL Miscreant,predicted good,1
Hench-Clan Burglar,predicted good,1
Vendetta,predicted good,1
Waggle Pick,predicted bad,1
Unidentified Contract,predicted good,1
Heistbaron Togwaggle,predicted bad,1
Tak Nozwhisker,predicted bad,0
EVIL Genius,predicted bad,0
Plot Twist,predicted bad,0
Rafaam's Scheme,predicted bad,0
Impferno,predicted bad,0
Eager Underling,predicted bad,0
Aranasi Broodmother,predicted bad,0
Darkest Hour,predicted good,0
Arch-Villain Rafaam,predicted bad,1
Fel Lord Betrug,predicted bad,1
Jumbo Imp,predicted bad,0
